rmse	mae	time_pred	time_learn	time_learn2	time_learn4	alpha	rmse_mcmc_this	rmse_mcmc_all	rmse_mcmc_all_but5	wmu[0]	wlambda[0]	vmu[0,0]	vlambda[0,0]	vmu[0,1]	vlambda[0,1]	vmu[0,2]	vlambda[0,2]	vmu[0,3]	vlambda[0,3]	vmu[0,4]	vlambda[0,4]	vmu[0,5]	vlambda[0,5]	vmu[0,6]	vlambda[0,6]	vmu[0,7]	vlambda[0,7]	vmu[0,8]	vlambda[0,8]	vmu[0,9]	vlambda[0,9]	vmu[0,10]	vlambda[0,10]	vmu[0,11]	vlambda[0,11]	vmu[0,12]	vlambda[0,12]	vmu[0,13]	vlambda[0,13]	vmu[0,14]	vlambda[0,14]	vmu[0,15]	vlambda[0,15]	vmu[0,16]	vlambda[0,16]	vmu[0,17]	vlambda[0,17]	vmu[0,18]	vlambda[0,18]	vmu[0,19]	vlambda[0,19]	vmu[0,20]	vlambda[0,20]	vmu[0,21]	vlambda[0,21]	vmu[0,22]	vlambda[0,22]	vmu[0,23]	vlambda[0,23]	vmu[0,24]	vlambda[0,24]	vmu[0,25]	vlambda[0,25]	vmu[0,26]	vlambda[0,26]	vmu[0,27]	vlambda[0,27]	vmu[0,28]	vlambda[0,28]	vmu[0,29]	vlambda[0,29]	vmu[0,30]	vlambda[0,30]	vmu[0,31]	vlambda[0,31]	vmu[0,32]	vlambda[0,32]	vmu[0,33]	vlambda[0,33]	vmu[0,34]	vlambda[0,34]	vmu[0,35]	vlambda[0,35]	vmu[0,36]	vlambda[0,36]	vmu[0,37]	vlambda[0,37]	vmu[0,38]	vlambda[0,38]	vmu[0,39]	vlambda[0,39]	vmu[0,40]	vlambda[0,40]	vmu[0,41]	vlambda[0,41]	vmu[0,42]	vlambda[0,42]	vmu[0,43]	vlambda[0,43]	vmu[0,44]	vlambda[0,44]	vmu[0,45]	vlambda[0,45]	vmu[0,46]	vlambda[0,46]	vmu[0,47]	vlambda[0,47]	vmu[0,48]	vlambda[0,48]	vmu[0,49]	vlambda[0,49]
2.021	1.75428	1.#QNAN	0	3.864	4	0.110549	2.021	2.021	2.06935	-0.000247931	100.122	-0.000806037	98.9672	-0.00012772	100.8	-0.000790048	98.8343	-0.000712598	100.366	0.000130831	99.2719	0.00045672	98.4424	7.71089e-005	99.7187	-0.000766042	100.939	-0.00033843	101.907	0.000376897	101.141	-0.000514877	101.256	9.79088e-005	100.055	-0.000279038	99.3972	0.00111364	99.5609	-0.000392521	99.3853	3.14659e-005	101.842	0.000657433	100.138	0.000769873	99.8508	0.000830054	99.6817	-0.000545981	100.083	-0.000249899	99.3241	6.17061e-005	102.085	9.69935e-005	100.111	0.00163061	98.2946	0.000266203	101.613	0.00124806	99.6172	0.000561393	99.0082	-0.000881887	100.951	0.000486117	96.4006	-0.000203247	102.399	-0.00184044	99.2784	-0.000272041	100.136	0.000487941	101.896	-0.00100711	98.8735	0.000290322	99.6676	-0.000676296	101.725	-0.000537042	99.238	-4.51705e-006	101.05	0.000342549	98.4232	-0.000200496	99.239	0.000810274	98.5787	-0.000370658	98.2752	0.000610859	100.008	0.000122679	101.129	-0.000909343	98.8948	-0.000167883	96.4978	-4.42721e-005	100.504	-0.000199715	98.7613	6.55018e-005	99.4012	0.000429722	97.3773
1.79719	1.53519	1.#QNAN	0	3.872	4	0.206376	1.66323	1.79719	2.06935	0.0933849	21.6186	-0.000643216	98.5099	-0.000780746	100.2	-0.000817697	100.779	0.000316249	99.1742	0.000587368	101.076	0.00104497	98.1303	-0.000121303	101.542	-0.000296423	101.025	-0.000501442	102.114	-0.000234656	103.134	-0.000107084	100.505	0.000553996	99.5479	0.000172872	101.192	0.000264723	101.243	-0.000446193	98.5485	0.000386272	102.965	0.000796695	100.195	-5.48436e-007	99.1718	0.00176074	99.8957	-0.001307	99.3171	-0.000495672	100.088	-0.00279106	98.9637	-0.000435602	100.824	0.00246361	96.7154	-0.000156853	101.143	0.00115356	100.835	0.000818706	100.796	-0.00087454	101.522	-0.0012072	96.6643	0.000448712	102.767	-0.00228113	101.535	-0.000745684	101.697	0.00166382	103.082	-0.00105786	96.65	-0.00113319	99.7449	-0.00181484	101.628	-0.000909897	97.457	0.000727101	101.761	-0.00112125	99.7474	-0.0015546	100.416	0.00125439	99.3153	-0.000769072	100.619	0.000479876	98.3084	0.000446967	101.418	-0.000809803	97.4686	-0.00021212	96.7913	0.000809289	101.65	0.000470878	97.9081	-0.000908269	102.2	0.000290793	96.1677
1.50088	1.23208	1.#QNAN	0	3.972	4	0.578354	1.39678	1.50088	2.06935	0.401713	3.24339	-0.000304368	98.5688	-0.00130322	101.248	9.8851e-005	100.567	0.000136178	98.8299	-0.00148681	102.584	0.00129252	97.5831	0.00109383	101.816	0.000510141	100.089	-0.00075743	101.697	-0.000262081	104.744	0.00138728	100.817	0.000463066	99.7655	0.000985674	101.914	0.000393898	101.727	-0.000204549	96.2834	0.00021379	102.514	0.00132303	99.5042	0.000436579	99.5526	0.00189183	100.478	-0.000494631	99.2325	-0.00136658	99.0671	-0.00375702	97.8135	-0.00103179	100.73	0.00125367	97.9532	-0.000239531	100.774	0.000866572	100.496	0.00130356	100.273	-0.000253461	102.336	-0.00147278	96.2224	-0.000770461	102.809	-0.00256775	98.8876	-0.000289049	100.388	0.00159881	101.067	-8.77312e-005	96.0308	-0.00192589	97.2185	-0.00254914	102.694	-0.00115864	98.1265	0.000569164	102.551	-0.00114365	101.312	-0.0022244	100.87	0.000114553	98.5043	-0.000812216	99.5854	-0.000237226	97.2365	-0.000644236	102.776	-0.00213275	98.7992	-0.000947994	96.2571	0.001827	102.084	0.000647755	97.2032	-0.000202691	100.382	0.000110029	96.1621
1.37857	1.0813	1.#QNAN	0	3.851	4	1.11454	1.44722	1.37857	2.06935	0.813426	1.28894	0.000854898	98.4787	-0.00170896	102.118	0.000439417	99.4872	0.00107514	99.1024	-0.00203204	102.938	0.00202255	96.8867	5.92155e-005	101.539	-0.000404535	98.5053	-0.000710293	100.361	0.000403731	105.148	0.00185682	101.932	5.19769e-005	100.688	0.000440146	101.061	0.000309219	99.1974	0.000634432	95.8743	0.000460192	103.883	0.0020687	100.453	-0.000245696	99.7127	0.000862976	100.412	-0.00108125	99.8675	-0.000963547	99.0207	-0.00436064	98.1129	-0.00127413	101.227	0.00135832	98.4454	-0.000394396	102.149	0.0015473	99.1127	-4.41821e-005	99.2362	-0.000260685	102.511	-0.000876655	95.3851	-0.00105729	101.639	-0.00282826	98.7293	0.000192281	100.507	0.00285966	97.8277	0.000169838	96.2843	-0.00113359	96.9226	-0.00229096	102.24	-0.00171245	98.9124	-0.000102829	102.736	-0.00165623	101.843	-0.00225135	102.005	-0.000384234	97.0784	0.000301863	99.6622	-0.000163081	97.0101	-0.000861757	103.178	-0.00164985	99.0589	-0.00021376	95.3374	0.00173193	104.242	0.000538674	97.198	-0.000869916	100.851	-0.000949135	93.4074
1.33339	1.02064	1.#QNAN	0	3.802	3	1.19507	1.43663	1.33339	61.2045	0.919239	1.35372	0.00127594	97.1005	-0.0017574	103.605	8.41198e-005	99.7345	0.000540591	99.1771	-0.00305852	104.182	0.00215803	96.4183	0.000292697	101.107	-0.00102979	97.141	-0.00136828	98.1475	0.000888299	104.028	0.00164062	100.892	0.0013522	101.073	-3.09458e-005	100.466	0.00158324	98.1731	0.000853644	95.6172	0.000597484	104.051	0.00184653	101.52	-0.000708869	101.323	0.00201512	101.529	0.000117836	97.9541	-0.000793446	97.6708	-0.00405989	96.932	-0.00246338	99.3762	0.0010428	97.7505	0.000322183	102.607	0.00285035	100.359	-0.00087676	99.3863	-0.000839097	101.987	-0.000573121	94.0503	-0.000964876	101.666	-0.00149407	99.1759	-1.58745e-005	101.335	0.00333673	97.5682	0.000829918	97.4146	-0.00181429	95.9108	-0.00167474	102.992	-0.00136458	97.6961	-7.99578e-005	101.334	-0.000839883	101.886	-0.00268985	103.635	-0.000347925	95.613	-0.000124135	100.147	-0.000167019	94.0291	-0.00098218	101.512	-0.000529745	98.2615	-0.000728532	95.5543	0.00191477	105.815	0.000420608	97.3184	-0.00138798	100.618	0.000231151	92.6822
1.31452	0.99125	1.#QNAN	0	3.863	4	1.19986	1.41799	1.31452	1.41799	0.939544	1.43386	0.000887756	97.0117	-0.00257515	103.551	0.000683596	99.1358	-0.000152692	98.442	-0.00159494	104.456	0.00175595	95.8061	0.00126209	102.49	-0.00126186	96.9866	-0.000947702	97.8075	0.00130657	102.476	0.00156981	99.5048	0.00208638	99.9795	0.000871015	101.693	0.00223913	99.0429	-0.000365747	94.3459	0.000721587	104.131	0.000809445	100.789	-0.000913708	100.787	0.00271804	99.8069	0.00122261	97.0573	-0.000875641	96.6148	-0.00364886	96.466	-0.00224684	99.8887	0.00118006	97.5724	0.000382051	102.28	0.00381884	99.2809	-0.000949917	99.2542	-0.00171365	101.633	-0.000313042	94.3164	-0.000416338	101.481	-0.00130537	100.275	0.000748995	100.48	0.0029813	98.0718	0.000991057	95.7788	-0.00230422	94.8407	-0.000994167	103.255	-7.52933e-005	98.269	-0.000234997	102.878	-0.00155914	101.836	-0.00306776	103.978	-0.000219512	94.6075	-0.000271219	100.668	-0.00158707	93.5894	-0.000418354	102.755	-0.00098609	98.1472	0.000429672	94.7304	0.00256225	103.349	0.000563091	97.1385	-0.00296419	101.363	-0.000804914	94.1651
1.30635	0.974158	1.#QNAN	0	3.802	4	1.19985	1.39727	1.30635	1.39303	0.951662	1.52192	0.000523526	96.3193	-0.00179939	101.886	0.00149887	101.482	0.000422776	99.4901	-0.00214838	103.913	0.00196168	95.1286	0.00144126	102.907	-0.000126469	96.8761	-0.00136453	98.5795	0.00113065	101.364	6.94332e-005	99.5933	0.00123952	98.801	0.000817234	102.817	0.00282817	98.5367	-0.00147634	93.3782	0.00109381	103.418	0.00157001	101.261	-0.000962522	101.054	0.00213029	99.7492	0.000889185	97.4056	-0.00142188	95.6041	-0.00343095	95.0772	-0.00275334	99.6327	0.001929	95.699	0.000806947	104.024	0.00407144	98.8783	-0.00181279	101.088	-0.00281492	103.417	0.000575504	93.3325	0.000358168	100.28	-0.000215099	98.0594	0.00111772	100.106	0.00395353	99.1236	0.00087774	96.968	-0.00177284	92.6516	0.000146346	102.845	-0.000294794	100.35	-0.000713546	103.166	-0.00175176	103.608	-0.00294245	104.003	-3.75225e-006	94.1458	-0.000431802	100.764	-0.000930283	92.3024	-0.000277353	103.319	-0.00119025	98.4486	0.0011028	94.4698	0.00344583	102.655	0.00062592	95.7872	-0.00319651	100.709	-0.000834253	93.6855
1.30196	0.961575	1.#QNAN	0	3.771	4	1.20108	1.3803	1.30196	1.37885	0.970251	1.63216	0.000893202	97.0444	-0.00207487	102.211	0.0013651	101.18	0.000928398	99.3181	-0.00271883	102.696	0.0016102	94.6746	0.00126986	101.738	-0.00168986	97.3013	-0.00154698	98.4181	0.00224101	100.564	0.000836905	100.869	0.000156525	96.8608	0.00221441	102.8	0.0020055	96.7692	-0.00201545	93.9548	0.00152165	102.228	0.00127475	100.279	-0.00165423	99.612	0.00191042	101.456	0.000844112	97.332	-0.00216464	94.6849	-0.00412485	95.8336	-0.00251705	100.628	0.00332417	94.2323	0.00019071	105.205	0.00291023	98.6056	-0.00225094	99.7367	-0.00176516	103.223	0.000364446	93.1196	-0.000115287	101.962	0.000612852	96.8956	0.00115284	99.3397	0.00242294	98.4637	0.000392149	97.711	-0.00178068	93.132	-0.000168821	102.549	0.000131475	100.469	-0.0019043	104.251	-0.00267611	105.051	-0.00381536	103.6	0.000647873	93.3041	-0.00143018	98.5825	-0.00103988	92.5894	-0.000303289	101.952	-0.00191347	97.528	0.000759004	94.9658	0.00407713	102.578	5.84466e-005	94.5412	-0.00241805	101.113	-0.000917862	92.8256
1.29841	0.950878	1.#QNAN	0	3.792	4	1.20004	1.35998	1.29841	1.36634	0.994016	1.73895	0.000532308	96.6233	-0.00193122	101.272	0.000489521	99.321	0.00199965	98.5869	-0.00371507	101.707	0.00156884	93.4747	0.00106211	100.803	-0.00214225	96.2798	-0.002003	99.2798	0.00178404	100.474	0.00110462	101.203	0.000231793	95.6589	0.00310992	102.079	0.000972696	95.836	-0.000696997	94.0107	0.00184721	101.49	0.00155794	102.2	-0.000898957	100.027	0.00179646	101.227	0.00264179	97.6978	-0.00199431	93.3212	-0.00374756	96.7452	-0.00199663	100.738	0.00485797	93.9005	0.000971762	102.641	0.00338225	97.9016	-0.00146465	99.2339	-0.00178838	104.129	0.000742186	91.1376	0.000267718	102.399	-0.000332936	95.9137	0.00262645	99.481	0.00310434	96.3451	0.00139656	95.9034	-0.00175756	94.0706	0.000119144	101.916	7.23978e-005	99.3807	-0.00304715	104.004	-0.00268399	107.016	-0.00510868	101.05	0.000593886	92.8833	-0.00241275	98.2824	-0.00124784	92.4032	0.000191412	101.371	-0.00146088	95.4752	8.43989e-005	93.0532	0.0039875	101.78	0.000833173	93.8016	-0.00160252	101.01	-0.000136341	93.9108
1.29502	0.941649	1.#QNAN	0	3.921	4	1.19911	1.33997	1.29502	1.35464	1.00916	1.85645	0.000582252	93.9952	-0.00171983	100.022	0.000355699	100.774	0.00210506	97.7353	-0.00392994	99.4208	0.00156653	91.4974	0.00139133	99.8385	-0.000837829	96.7234	-0.00222865	97.9558	0.00120575	100.588	-0.000598902	101.297	0.000352271	94.1711	0.00409862	101.866	0.00132995	94.5284	-0.000655373	92.8108	0.00173885	102.145	0.000869287	101.577	-4.65511e-005	100.434	0.00148608	102.771	0.00246645	97.6934	-0.0037089	91.7346	-0.00322487	97.4901	-0.00203409	98.4075	0.00486837	93.6348	0.0015916	102.24	0.00445529	98.6429	-0.0024259	98.8997	-0.00116071	104.972	0.000845687	91.6269	-0.000185134	102.483	-0.000144571	96.0984	0.00140636	100.258	0.00277474	96.8288	0.00115945	95.9491	-0.00159623	93.2025	-0.000261349	102.593	0.000409946	100.156	-0.00343014	105.437	-0.00338307	105.936	-0.00433874	98.6852	-0.00151547	93.0218	-0.00305706	97.9887	0.00122291	92.2521	-0.000352571	102.883	-0.00159001	95.7625	0.00109354	92.9845	0.0053043	103.917	0.00105453	93.307	-0.000357745	101.659	0.000394139	93.3051
